Date,Close,High,Low,Open,Volume
2025-07-10,6300.0,6310.0,5870.0,6300.0,11562
2025-07-11,6150.0,6550.0,6080.0,6400.0,5326
2025-07-14,6110.0,6260.0,5980.0,6000.0,4915
2025-07-15,6070.0,6310.0,6000.0,6120.0,6382
2025-07-16,6050.0,6150.0,5950.0,6000.0,2924
2025-07-17,6040.0,6150.0,5950.0,6150.0,2977
2025-07-18,6000.0,6140.0,5950.0,6140.0,2099
2025-07-21,5890.0,6180.0,5850.0,6150.0,2887
2025-07-22,5810.0,6130.0,5780.0,6130.0,3049
2025-07-23,5870.0,5990.0,5770.0,5770.0,3571
2025-07-24,5890.0,5970.0,5780.0,5850.0,3362
2025-07-25,5970.0,6060.0,5830.0,5920.0,6751
2025-07-28,5980.0,6090.0,5770.0,5970.0,6973
2025-07-29,6000.0,6070.0,5940.0,5960.0,5438
2025-07-30,5920.0,6080.0,5810.0,5980.0,7644
2025-07-31,5900.0,6050.0,5880.0,6000.0,7183
2025-08-01,6020.0,6230.0,5890.0,5890.0,19157
2025-08-04,6020.0,6200.0,5910.0,6100.0,5612
2025-08-05,5980.0,6060.0,5960.0,6060.0,3476
2025-08-06,5970.0,6030.0,5960.0,6030.0,6143
2025-08-07,5910.0,5970.0,5890.0,5970.0,4290
2025-08-08,5900.0,6010.0,5850.0,5910.0,3574
2025-08-11,5880.0,5980.0,5800.0,5980.0,4169
2025-08-12,5840.0,5950.0,5770.0,5860.0,4422
2025-08-13,5800.0,5900.0,5780.0,5780.0,3646
2025-08-14,5710.0,5850.0,5670.0,5790.0,2304
2025-08-18,5670.0,5840.0,5660.0,5710.0,6152
2025-08-19,5710.0,5760.0,5660.0,5690.0,2254
2025-08-20,5670.0,5740.0,5630.0,5630.0,5227
2025-08-21,5670.0,5780.0,5640.0,5710.0,2278
2025-08-22,5570.0,5700.0,5550.0,5700.0,7411
2025-08-25,5260.0,5650.0,5200.0,5650.0,11359
2025-08-26,5210.0,5350.0,4990.0,5230.0,5487
2025-08-27,5090.0,5290.0,5050.0,5290.0,3266
2025-08-28,5100.0,5340.0,5100.0,5140.0,4553
2025-08-29,5020.0,5230.0,5000.0,5230.0,4008
2025-09-01,5040.0,5110.0,4955.0,5070.0,3825
2025-09-02,4870.0,5120.0,4730.0,5050.0,5499
2025-09-03,4895.0,5200.0,4815.0,4890.0,5347
2025-09-04,4945.0,5120.0,4830.0,4940.0,4128
2025-09-05,4880.0,5070.0,4830.0,5000.0,5958
2025-09-08,4715.0,4885.0,4190.0,4800.0,8335
2025-09-09,4670.0,5010.0,4605.0,4800.0,5302
2025-09-10,4750.0,4900.0,4705.0,4830.0,4803
2025-09-11,4650.0,4900.0,4520.0,4850.0,5185
2025-09-12,4570.0,4720.0,4510.0,4655.0,4396
2025-09-15,4440.0,4725.0,4280.0,4725.0,4417
2025-09-16,4395.0,4520.0,4315.0,4460.0,4045
2025-09-17,4330.0,4430.0,4275.0,4350.0,3650
2025-09-18,4055.0,4380.0,3960.0,4380.0,7229
2025-09-19,4000.0,4040.0,3810.0,4000.0,6270
2025-09-22,4190.0,4235.0,3950.0,4015.0,6689
2025-09-23,4320.0,4450.0,4255.0,4255.0,4647
2025-09-24,4635.0,4670.0,4450.0,4455.0,6419
2025-09-25,4300.0,5000.0,4230.0,4650.0,9455
2025-09-26,4480.0,4500.0,4105.0,4395.0,3320
2025-09-29,4635.0,4650.0,4200.0,4350.0,4739
2025-09-30,4675.0,4795.0,4485.0,4610.0,4892
2025-10-01,4635.0,4790.0,4615.0,4650.0,2025
2025-10-02,4640.0,4685.0,4545.0,4620.0,2869
2025-10-03,4640.0,4670.0,4450.0,4600.0,4510
2025-10-06,4615.0,4750.0,4450.0,4695.0,3058
2025-10-07,4520.0,4720.0,4475.0,4625.0,1801
2025-10-08,4350.0,4565.0,4320.0,4390.0,3778
2025-10-09,4415.0,4480.0,4305.0,4445.0,6121
2025-10-13,4400.0,4425.0,4330.0,4330.0,1457
2025-10-14,4130.0,4500.0,4100.0,4400.0,5873
2025-10-15,4185.0,4290.0,4010.0,4015.0,3331
2025-10-16,4160.0,4310.0,4065.0,4280.0,2124
2025-10-17,4225.0,4280.0,4080.0,4160.0,4197
2025-10-20,4230.0,4305.0,4010.0,4305.0,3335
2025-10-21,4255.0,4290.0,4115.0,4270.0,3784
2025-10-22,4295.0,4390.0,4200.0,4205.0,2391
2025-10-23,4375.0,4580.0,4150.0,4150.0,3961
2025-10-24,4470.0,4580.0,4290.0,4445.0,5547
2025-10-27,4970.0,5140.0,4600.0,5000.0,11581
2025-10-28,5250.0,5590.0,4985.0,4985.0,11184
2025-10-29,5870.0,5950.0,5120.0,5240.0,12586
2025-10-30,5590.0,5990.0,5260.0,5740.0,7863
2025-10-31,5890.0,5980.0,5610.0,5610.0,15856
2025-11-03,5940.0,6110.0,5710.0,5940.0,13178
2025-11-04,5760.0,6150.0,5660.0,5980.0,5311
2025-11-05,5610.0,5880.0,5550.0,5880.0,8312
2025-11-06,5540.0,5650.0,5510.0,5620.0,2723
2025-11-07,5330.0,5610.0,5280.0,5600.0,2938
2025-11-10,5390.0,5480.0,5180.0,5350.0,5441
2025-11-11,5570.0,5590.0,5260.0,5390.0,3741
2025-11-12,5650.0,5680.0,5460.0,5610.0,7871
2025-11-13,5530.0,5650.0,5400.0,5470.0,5804
2025-11-14,6020.0,6100.0,5560.0,5570.0,15589
2025-11-17,6330.0,6890.0,6010.0,6050.0,25716
2025-11-18,6130.0,6360.0,5860.0,6350.0,6986
2025-11-19,6000.0,6350.0,5870.0,6130.0,6982
2025-11-20,5990.0,6240.0,5850.0,5860.0,4255
2025-11-21,5940.0,6170.0,5660.0,5850.0,2184
2025-11-25,5790.0,5890.0,5570.0,5890.0,5008
2025-11-26,6000.0,6060.0,5670.0,5710.0,5951
2025-11-27,5930.0,5990.0,5850.0,5990.0,2617
2025-11-28,6100.0,6110.0,5880.0,5990.0,8541
2025-12-01,6100.0,6350.0,5900.0,6100.0,4653
2025-12-02,6230.0,6300.0,5950.0,5950.0,8846
2025-12-03,6330.0,6350.0,6050.0,6330.0,4279
2025-12-04,6290.0,6500.0,6110.0,6350.0,13604
2025-12-05,6320.0,6500.0,6200.0,6330.0,4570
2025-12-09,6200.0,6580.0,6170.0,6260.0,3274
2025-12-10,6130.0,6360.0,5950.0,6110.0,1624
2025-12-11,6050.0,6250.0,5900.0,6130.0,2175
2025-12-12,6090.0,6240.0,5920.0,6000.0,2416
2025-12-15,6040.0,6230.0,5920.0,6220.0,2137
2025-12-16,5970.0,6050.0,5940.0,6050.0,1202
2025-12-17,5920.0,6000.0,5770.0,6000.0,2037
2025-12-18,5980.0,6090.0,5890.0,6090.0,3694
2025-12-19,5930.0,6060.0,5860.0,5960.0,3530
2025-12-22,5850.0,6000.0,5720.0,5810.0,6245
2025-12-23,5990.0,6000.0,5600.0,5880.0,5785
2025-12-24,5910.0,6000.0,5900.0,5990.0,500
2025-12-26,6200.0,6290.0,5910.0,5990.0,4734
2025-12-29,6050.0,6280.0,5950.0,6250.0,4771
2025-12-30,6120.0,6200.0,5780.0,5900.0,5417
2026-01-02,6150.0,6330.0,6050.0,6140.0,4077
2026-01-05,6040.0,6180.0,6020.0,6070.0,4230
2026-01-06,6070.0,6100.0,5930.0,5930.0,3457
2026-01-07,5980.0,6100.0,5960.0,6100.0,2872
2026-01-08,5990.0,6080.0,5960.0,6000.0,2246
2026-01-09,5940.0,6060.0,5700.0,5990.0,1893
2026-01-12,5890.0,6090.0,5640.0,6050.0,3422
2026-01-13,5900.0,5970.0,5650.0,5800.0,2108
2026-01-14,6030.0,6080.0,5910.0,5980.0,6842
2026-01-15,5950.0,6120.0,5800.0,6120.0,3337
2026-01-16,6100.0,6120.0,5900.0,5900.0,3758
2026-01-19,5990.0,6140.0,5900.0,6060.0,2401
2026-01-20,5860.0,5940.0,5850.0,5850.0,2477
2026-01-21,6020.0,6050.0,5830.0,5860.0,4024
2026-01-22,6020.0,6240.0,5950.0,6050.0,9592
2026-01-23,6170.0,6200.0,5900.0,6020.0,7479
2026-01-26,6200.0,6300.0,5950.0,6170.0,5968
2026-01-27,6320.0,6360.0,6150.0,6150.0,4972
2026-01-28,6140.0,6390.0,6090.0,6380.0,7238
2026-01-29,6070.0,6240.0,6040.0,6140.0,10218
2026-01-30,6050.0,6120.0,5960.0,6120.0,3977
2026-02-02,5940.0,6130.0,5800.0,6040.0,2820
2026-02-03,5880.0,6080.0,5860.0,6000.0,2249
2026-02-04,6000.0,6070.0,5780.0,5960.0,3016
2026-02-05,5880.0,6060.0,5820.0,6060.0,2132
2026-02-06,6000.0,6160.0,5790.0,5920.0,2785
2026-02-09,5780.0,6000.0,5700.0,5910.0,10757
2026-02-10,5510.0,5900.0,5480.0,5820.0,19867
2026-02-11,5520.0,5600.0,5390.0,5450.0,12596
2026-02-12,5410.0,5630.0,5300.0,5570.0,6732
